left_manual,right_retrieval,right_imaginal,left_visual,left_imaginal,right_manual,left_retrieval,right_visual
7140.7958708585265,6772.473474804697,-7331.567735935472,7007.567011886623,7128.756495823158,7363.794922692849,6729.7785396772215,7113.780919786051
7160.483233986758,6787.52751185386,-7324.635579374569,7002.711174504031,7130.149239465398,7362.285052092452,6705.514929379094,7135.574348538128
7159.462616964755,6795.365787710803,-7348.025437950215,7016.520318359062,7152.478075350724,7368.364869158901,6731.412378677737,7154.81787430695
7142.71313249167,6795.049001675452,-7354.486975885834,6997.49453072835,7156.7036528671815,7353.680793462521,6743.246671325318,7152.468100006097
7129.963395461231,6790.055080664494,-7338.506848257105,6969.589047479654,7129.423720650928,7340.968781631941,6723.526034878434,7114.0892699879905
7129.414196790549,6798.234173035639,-7333.090520759503,6953.260334701102,7138.767710845936,7330.057181913066,6761.482389920035,7094.891267730331
7152.901183275728,6819.814706050491,-7347.047732688359,7001.550719454423,7157.372294128444,7363.268161162919,6780.762942254739,7116.07361649302
7175.868921222601,6818.570658820619,-7374.504160686422,7024.5006212128455,7160.14766905825,7371.897142611934,6803.634035122205,7174.255103407057
7183.3377879143245,6814.177717782639,-7386.728732736403,7009.851419181411,7162.893982072969,7363.440085787822,6793.0836746397845,7182.552205137822
7141.355465630212,6798.0614045880775,-7358.931151547831,7003.56628129869,7148.726770988298,7347.062812821905,6770.434559273196,7167.8694304129685
7166.4081938892705,6787.36744603697,-7346.300748598054,6990.245334787399,7130.044737011672,7361.059392770482,6747.328236603548,7159.819823087285
7136.090344407134,6790.075795412532,-7342.466380375133,6997.180574048053,7135.018145786257,7347.12196183241,6745.675781642615,7137.722916095358
7171.564450491365,6801.892818861675,-7347.311552146143,6988.898678843468,7135.394113295629,7370.870653585556,6747.128238510188,7144.483837921064
7151.8725118802395,6795.225249468,-7359.770381771416,7013.183989023234,7160.184094053805,7372.864647185839,6771.859028257441,7165.717501378672
7144.861770519848,6795.044413830787,-7367.377980261706,6988.64301349421,7152.576548481084,7356.840699358352,6750.428738251174,7169.996513611889
7156.340184346505,6789.830123541695,-7351.4477463459825,6986.016701711044,7146.758003967053,7343.810959541548,6744.930787033455,7140.375267685632
7134.464983011773,6792.763005115827,-7346.530876035781,6976.20751897034,7137.213343435715,7343.807180211396,6759.8239847598015,7107.579881114673
7124.767364371964,6791.501754825742,-7349.029046654559,6993.770188415551,7150.83413252796,7333.6748899406975,6777.891231154775,7118.737416954306
7125.149008188466,6796.720534633154,-7363.083855952435,6977.43430301723,7152.517270696814,7333.134109820912,6787.359111545049,7126.212540410129
7126.330486437406,6808.0918185513865,-7355.246242787741,6973.2627940735765,7145.757374871909,7333.49484133678,6770.302289607451,7142.602616615867
7125.486678967694,6791.599956946774,-7355.427794219618,6960.639074369158,7135.217776363632,7323.198646742737,6743.697308820401,7134.899465010819
7112.460150258204,6789.833806026728,-7318.015481577388,6969.753868894984,7115.73980711912,7340.622570061981,6725.908597237492,7108.669219812116
7107.636043843911,6784.164379457721,-7300.687990987552,6941.483696748969,7108.087516558129,7336.80369380961,6713.550576031223,7062.785355728836
7130.289736989494,6779.696107594657,-7324.3693602134435,6973.775754107355,7136.270848588613,7361.5783319650955,6711.991745253787,7122.332775968409
7130.139995108663,6817.27430908294,-7346.70476000642,7011.138170861832,7174.0327523077785,7362.430773080201,6749.111003463982,7180.500870951557
7126.148837959105,6815.297940724215,-7347.697973873858,7003.277886504775,7170.097223955993,7367.107764222952,6761.727167808743,7229.836263273389
7126.1019757361455,6806.459814760349,-7347.127703059204,7001.098994291245,7169.249300467408,7355.802200801883,6738.088489861651,7230.250144053159
7144.268143450893,6784.47984328916,-7333.831622728852,6986.1125250094765,7140.063979754698,7342.0834270202995,6702.299830527774,7192.877669589395
7125.794348327195,6772.681944054963,-7321.5481162490005,6964.8174034834665,7136.7259121577445,7349.895178006798,6698.5922946557575,7167.6211594203105
7110.985219556307,6781.002044054857,-7307.851646668955,6979.146922039247,7124.177733472652,7347.015390984504,6729.890018818106,7121.873778940732
7136.121229654236,6790.803246191258,-7350.888423004053,6978.347960851736,7141.2830084451225,7351.391674094301,6755.674550046183,7146.355411587581
7146.1240455839925,6806.1020294817445,-7374.2528933034555,7010.6956425526605,7164.849668725901,7364.161977478947,6767.964864307756,7179.59270026909
7168.410896714505,6806.14174716109,-7387.494817335762,6988.198874924806,7173.882155459248,7384.604988442223,6780.96460309727,7183.087647159146
7160.879114514719,6771.674900846904,-7375.7458402735065,7008.614757142226,7148.566578198361,7357.80532981945,6771.574544265362,7151.310751811006
7149.577350865209,6798.088163344784,-7371.886176708249,6991.892236685414,7148.763070015421,7349.949752403498,6751.302730451779,7159.792100496476
7132.272094780483,6795.463264636839,-7352.257721795854,6983.1302680946155,7135.936157888393,7329.425493232686,6765.619578395455,7154.839521147957
7151.1204874529085,6808.621857288942,-7359.563949927177,7014.334918204056,7150.976916494392,7361.334203881222,6759.175607532158,7165.374372248199
7143.251061845042,6802.04476334254,-7376.401109135034,7017.546455875896,7150.38467547022,7339.945692878613,6775.986504632151,7197.5184727573915
7152.285250222911,6820.148091198872,-7377.2443548835445,7000.87390192863,7143.7371915112735,7369.6097059797785,6773.014446118337,7181.142394866442
